,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,AGK.L,1436.88,735450.0,1794.07,-20.0%
1,AGK.L,1436.88,735298.0,1795.65,-20.0%
2,AGK.L,1436.88,735255.0,1808.9,-20.0%
3,AGK.L,1436.88,734934.0,2074.0,-30.0%
4,AHT.L,892.0,735495.0,1068.0,-16.0%
5,AHT.L,892.0,735495.0,1068.0,-16.0%
6,ANTO.L,658.0,735094.0,911.1,-27.5%
7,BATS.L,3389.0,735495.0,3656.5,-8.0%
8,BATS.L,3389.0,735495.0,3656.5,-8.0%
9,CCL.L,2143.0,735499.0,2556.0,-16.0%
10,CNA.L,290.0,735382.0,342.53,-16.0%
11,EXPN.L,927.0,735249.0,1163.91,-20.0%
12,FRES.L,750.0,735460.0,1037.0,-27.5%
13,FRES.L,750.0,735458.0,1037.0,-27.5%
14,FRES.L,750.0,735460.0,1037.0,-27.5%
15,FRES.L,750.0,735458.0,1037.0,-27.5%
16,GKN.L,283.6,735288.0,408.58,-30.0%
17,IMT.L,2576.0,735495.0,2790.0,-8.0%
18,IMT.L,2576.0,735495.0,2790.0,-8.0%
19,JMAT.L,2695.0,735479.0,3234.0,-16.0%
20,KGF.L,287.4,735121.0,407.02,-30.0%
21,LAND.L,1012.25,735460.0,1108.0,-8.0%
22,LAND.L,1012.25,735460.0,1108.0,-8.0%
23,LSE.L,1786.0,735501.0,1928.0,-8.0%
24,LSE.L,1786.0,735480.0,1928.93,-8.0%
25,MGGT.L,425.1,735253.0,532.32,-20.0%
26,MNDI.L,945.0,735393.0,1128.29,-16.0%
27,MRW.L,153.6,735473.0,183.79,-16.0%
28,MRW.L,153.6,735473.0,183.79,-16.0%
29,MRW.L,153.6,735372.0,210.05,-27.5%
30,PSN.L,1272.0,735464.0,1384.0,-8.0%
31,PSON.L,1137.0,735507.0,1245.0,-8.0%
32,RR.L,911.6584845250801,735404.0,1083.49,-16.0%
33,RR.L,911.6584845250801,735325.0,1083.49,-16.0%
34,RR.L,911.6584845250801,735239.0,1265.37,-27.5%
35,RRS.L,4200.0,735443.0,5285.75,-20.0%
36,SGE.L,346.7,735292.0,435.32,-20.0%
37,SMIN.L,1152.6851851851852,735019.0,1382.08,-16.0%
38,STAN.L,1093.0,735254.0,1362.25,-20.0%
39,STJ.L,653.95,735393.0,819.0,-20.0%
40,TPK.L,1589.0,735495.0,1719.7,-8.0%
41,TSCO.L,179.95,735130.0,364.49,-50.0%
42,TSCO.L,179.95,735075.0,368.69,-50.0%
43,TSCO.L,179.95,735016.0,370.27,-50.0%
44,TT.L,334.3,735501.0,395.6,-16.0%
